à		Vit, I, E
ba chỉ		N, Ng
ba chìm bảy nổi		X
ba chìm bảy nổi chín lênh đênh		X
ba cọc ba đồng		Np
ba cùng		Vit
ba-dan		Np
ba-dô-ca		Np
ba-dơ		Np
ba đào		N
ba đầu sáu tay		X
ba đậu		N
ba gác		N
ba gạc		N, Ng
ba gai		Aa
ba giăng		N, Ng
ba hoa		Vit, Aa
ba hoa chích choè		Aa
ba hoa thiên địa		Aa
ba hoa xích đế		Aa
ba hồn bảy vía		Np
ba hồn chín vía		Np
ba-ke-lit		Np
ba khía		N, Ng
ba không		N
ba kích		N, Ng
ba lá		N, Ng
ba láp		Aa
ba-lát		Np
ba lăng nhăng		Aa
ba lê		N
ba lô		N
ba lông		N
ba lơn		Aa
ba máu sáu cơn		X
ba mặt một lời		X
ba mũi giáp công		X
ba mươi		Nn
ba mươi Tết		N
ba phải		Aa
ba quân		Ng
ba que		Aa
ba rem		N
ba-ren		Np
ba ri e		N
ba rọi		N, Aa
ba sinh		N
ba soi		N, Ng
ba-ta		N
ba tê		N, Ng
ba tháng		N
ba-ti-nê		Vit
ba toong		N
ba trăng		N
ba trợn		Aa
ba trợn ba trạo		Aa
ba trui		Vit
ba tui		Vit
ba vạ		Aa
ba xạo		Aa
bà		N
bà ba		N
bà chúa		N
bà con		Ng
bà cô		Ng
bà cốt		N, Ng
bà đỡ		N, Ng
bà gia		N, Ng
bà già		N, Ng
bà giằn		N, Ng
Bà La Môn giáo		N
bà mụ		N, Ng
bà nguyệt		N, Ng
bà nhạc		N, Ng
bà phước		N, Ng
bà trẻ		N, Ng
bà xã		N, Ng
bà xơ		N, Ng
bả		N, Ng, Pp
bả dột		N, Ng
bả lả		Aa
bả vai		N
bã		N, Aa
bã trầu		N
bá		N, Ng, Vt
bá cáo		Vt
bá chiếm		Vt
bá chủ		Aa
bá đạo		N, Ng, N
bá hộ		N, Ng
bá láp		Aa
bá quan		N, Ng
bá quyền		N
bá tánh		Ng
bá tước		N, Ng, N
bá vơ		Aa
bá vương		N, Ng, N
bạ		N, Ng, Vt
bạ ăn bạ nói		Vit
bác		N, Ng, Vt
bác ái		Aa
bác bỏ		Vt
bác cổ thông kim		Aa
bác học		N, N, Aa
bác mẹ		Ng
bác sĩ		N, Ng
bác vật		N, Ng
bạc		N, Aa
bạc ác		Aa
bạc bẽo		Aa
bạc bromua		N
bạc bromur		N
bạc đà		N
bạc đãi		Vt
bạc đầu		Aa
bạc điền		N, Ng
bạc giấy		N, Ng
bạc hà		N, Ng
bạc lạc		Aa
bạc lót		N
bạc má		Aa
bạc màu		Aa
bạc mày		N, Ng
bạc mầu		Aa
bạc mệnh		Aa
bạc nhạc		N, Ng, Aa
bạc nhược		Aa
bạc phếch		Aa
bạc phơ		Aa
bạc thau		N, Ng
bạc tình		Aa
bách		N, Vt
bách bổ		Aa
bách bộ		N, Vit
bách chiến		Aa
bách chiến bách thắng		Aa
bách diệp		N, Ng
bách hoá		N, Ng
bách hợp		N
bách khoa		Ng
bách khoa toàn thư		N, Ng
bách nhật		N
bách niên giai lão		Vit
bách phát bách trúng		Vit
bách phân		Vit
bách quan		N, Ng
bách tán		N
bách thanh		N, Ng
bách thắng		Aa
bách tính		N, Ng
bạch		Vt, Aa
bạch biến		N
bạch cập		N
bạch cầu		N, Ng
bạch chỉ		N
bạch cúc		N, Ng
bạch cương tàm		N, Ng
bạch diện thư sinh		N
bạch dương		N
bạch đái		N
bạch đàn		N, Ng
bạch đầu		N
bạch đầu quân		N, Ng
bạch đậu khấu		N
bạch điến		N
bạch đinh		N, Ng
bạch đồng nữ		N, Ng
bạch đới		N
bạch hạc		N
bạch hầu		N
bạch huyết		N, Ng
bạch huyết cầu		N, Ng
bạch kim		N, Ng
bạch lạp		N, Ng
bạch lộ		Np
bạch mao căn		N
bạch nhật		N
bạch phàn		N
bạch phiến		N
bạch phụ tử		N
bạch tạng		N
bạch thoại		N
bạch tiền		N
bạch trọc		N
bạch tuộc		N, Ng
bạch yến		N, Ng
bai		N, Vit
bai bải		Aa
bai-tơ		Np
bài		N, Ng, Nu, Vt
bài bác		Vt
bài bạc		N, Ng
bài bản		N, Ng
bài báng		Vt
bài binh bố trận		Vit
bài bông		N, Ng
bài chỉ		N, Ng
bài chòi		N, Ng
bài hải		Aa
bài học		N, Ng
bài khoá		N, Ng
bài làm		N, Ng
bài mục		N, Ng
bài ngà		N, Ng
bài ngoại		Vit
bài tập		N, Ng
bài tây		N, Ng
bài tiết		Vit
bài tính		N, Ng
bài toán		N, Ng
bài trí		Vit
bài trừ		Vt
bài vị		N, Ng
bài vở		N, Ng
bài xích		Vt
bài xuất		Vt
bải hải		Aa
bải hoải		Aa
bãi		N, Ng, Vt
bãi binh		Vit
bãi bỏ		Vt
bãi cá		N, Ng
bãi chợ		Vit
bãi chức		Vt
bãi công		Vit
bãi khoá		Vit
bãi miễn		Vt
bãi nhiệm		Vt
bãi tập		N, Ng
bãi thải		N, Ng
bãi thị		Vit
bãi thực		Vit
bãi triều		Vit
bái		N, Ng, Vt
bái biệt		Vt
bái chổi		N, Ng
bái lĩnh		Vt
bái phục		Vt, Vim, Vtim
bái tạ		Vt
bái tổ		Vit
bái vật		N, Ng
bái vật giáo		N
bái xái		Aa
bái yết		Vt
bại		Vit, Aa
bại binh		N, Ng
bại hoại		Aa
bại liệt		N, Aa
bại lộ		Vt
bại quân		N, Ng
bại trận		Vit
bại tướng		N, Ng
bại vong		Vit
bám		Vt
bám trụ		Vt
bám víu		Vt
ban		N, Vt
ban ân		Vit
ban bệ		N, Ng
ban bí thư		N, Ng
ban bố		Vt
ban cấp		Vt
ban chấp hành		N, Ng
ban chấp uỷ		N, Ng
ban công		N, Ng
ban đầu		N
ban đêm		N
ban giám hiệu		N, Ng
ban-giô		Np
ban hành		Vt
ban khen		Vt
ban mai		N
ban miêu		N, Ng
ban nãy		N
ban ngày		N
ban ngày ban mặt		Np
ban ơn		Vit
ban phát		Vt
ban sơ		N
ban tặng		Vt
bàn		N, Ng, Vt
bàn bạc		Vt
bàn cãi		Vit
bàn cát		N, Ng
bàn chải		N, Ng
bàn chân		N, Ng
bàn chông		N, Ng
bàn cờ		N, Ng
bàn cuốc		N, Ng
bàn dân thiên hạ		N, Ng
bàn đạc		N, Ng
bàn đạp		N, Ng
bàn đèn		N, Ng
bàn định		Vt
bàn độc		N, Ng
bàn giao		Vt
bàn giấy		N, Ng
bàn hoàn		Vit
bàn là		N, Ng
bàn là hơi		N, Ng
bàn luận		Vt
bàn lùi		Vit
bàn mảnh		Vit
bàn máy		N, Ng
bàn phím		N, Ng
bàn ra		Vit
bàn ra tán vào		Vit
bàn rà		N, Ng
bàn ren		N, Ng
bàn rùn		Vit
bàn soạn		Vt
bàn tán		Vit
bàn tay		N, Ng
bàn tay vàng		N, Ng
bàn thạch		N, Ng
bàn thờ		N, Ng
bàn tính		N, Ng
bàn tính		N, Ng, Vt
bàn toạ		N, Ng
bàn trang		N, Ng
bàn trổ		N, Ng
bàn ủi		N, Ng
bản		N
bản án		N, Ng
bản âm		N, Ng
bản bộ		N, Ng
bản chất		N
bản chính		N, Ng
bản chức		N
bản dạng		N, Ng
bản doanh		N, Ng
bản dương		N, Ng
bản địa		N
bản đồ		N, Ng
bản đồ học		N
bản gốc		N, Ng
bản in thử		N, Ng
bản kẽm		N, Ng
bản làng		N, Ng
bản lề		N
bản liệt in		N, Ng
bản lĩnh		N
bản mặt		N, Ng
bản mẫu		N, Ng
bản mệnh		N
bản mường		N, Ng
bản năng		N
bản ngã		N
bản ngữ		N
bản nhạc		N, Ng
bản quán		N
bản quyền		N
bản sao		N, Ng
bản sắc		N
bản tâm		N
bản thảo		N, Ng
bản thân		N
bản thể		N
bản thể luận		N
bản tính		N
bản vẽ		N, Ng
bản vị		N, Aa
bản vị chủ nghĩa		Aa
bản vị kép		N
bản xứ		N
bán		Vt
bán bình nguyên		N, Ng
bán buôn		Vt
bán cầu		N, Ng
bán cầu não		N, Ng
bán chác		Vit
bán chạy		Vit
bán chịu		Vit
bán công		Aa
bán dẫn		Aa
bán đảo		N, Ng
bán đấu giá		Vit
bán đổ bán tháo		Vit
bán đứng		Vt
bán hạ		N, Ng
bán hoa		Vit
bán hoá giá		Vit
bán kết		N
bán khai		Aa
bán kính		N
bán lẻ		Vit
bán mạ		Vt
bán mạng		Jd
bán mặt cho đất bán lưng cho trời		Vit
bán mặt cho đất, bán lưng cho trời		Vit
bán nguyên âm		N, Ng
bán nguyệt		N
bán nguyệt san		N, Ng
bán non		Vit
bán nước		Vit
bán nước buôn dân		Vit
bán phá giá		Vit
bán rao		Vit
bán sỉ		Vit
bán sống bán chết		Aa
bán sơn địa		N, Ng
bán thành phẩm		N, Ng
bán tháo		Vit
bán thân		N
bán thân bất toại		Aa
bán tín bán nghi		Vit
bán tống		Vit
bán tống bán táng		Vit
bán tống bán tháo		Vit
bán tống táng		Vit
bán trả dần		Vit
bán trả góp		Vit
bán trôn nuôi miệng		Vit
bán trời không văn tự		Vit
bán trú		Vit
bán tự động		Aa
bán vợ đợ con		Vit
bán xới		Vit
bạn		N, Vit
bạn bầu		N
bạn bầy		N
bạn bè		N
bạn cọc chèo		N, Ng
bạn con dì		N, Ng
bạn điền		N, Ng
bạn đọc		N, Ng
bạn đời		N, Ng
bạn đường		N, Ng
bạn hàng		N, Ng
bạn hữu		N
bạn lòng		N
bạn nối khố		N, Ng
bạn trăm năm		N, Ng
bạn vàng		N, Ng
bạn vong niên		N, Ng
bancông		N, Ng
bang		N, Ng, Nu
bang biện		N, Ng
bang giao		Vit
bang tá		N, Ng
bàng		N, Ng
bàng bạc		Vit
bàng bạc		Aa
bàng hệ		N
bàng hoàng		Aa
bàng quan		Vit
bàng quang		N, Ng
bàng thính		Vit
bàng tiếp		Vit, Aa
bảng		N, Nu, N
bảng chữ cái		N, Ng
bảng cân đối		N, Ng
bảng cửu chương		N, Ng
bảng đen		N, Ng
bảng hiệu		N, Ng
bảng lảng		Aa
bảng màu		N
bảng nhãn		N, Ng
bảng số		N, Ng
bảng tổng sắp		N, Ng
bảng tuần hoàn		N, Ng
bảng vàng		N, Ng
báng		N, Ng, Vt
báng bổ		Vt, Aa
bạng nhạng		N, Ng
banh		N, Ng, Vt, Aa
bành		N, Ng
bành bạnh		Aa
bành tô		N, Ng
bành trướng		Vt
bảnh		Aa
bảnh bao		Aa
bảnh choẹ		Aa
bảnh mắt		Vit
bảnh trai		Aa
bánh		N
bánh bàng		N
bánh bao		N
bánh bèo		N
bánh bò		N
bánh bỏng		N
bánh canh		N
bánh cắt		N
bánh chả		N
bánh chay		N
bánh chè		N
bánh chưng		N
bánh cóc		N
bánh cốm		N
bánh cuốn		N
bánh dẻo		N
bánh đa		N
bánh đa nem		N
bánh đà		N
bánh đai		N
bánh đậu xanh		N
bánh đúc		N
bánh ếch		N
bánh gai		N
bánh giầy		N
bánh gio		N
bánh giò		N
bánh gối		N
bánh hỏi		N
bánh in		N
bánh ít		N
bánh khảo		N
bánh khoai		N
bánh khoái		N
bánh khúc		N
bánh lái		N
bánh mật		N
bánh mì		N
bánh mướt		N
bánh nậm		N
bánh nếp		N
bánh nướng		N
bánh phồng		N
bánh phồng tôm		N
bánh phở		N
bánh quế		N
bánh qui		N
bánh quy		N
bánh rán		N
bánh răng		N
bánh sữa		N
bánh tai voi		N
bánh tày		N
bánh tây		N
bánh tẻ		N, Aa
bánh tét		N
bánh thánh		N
bánh tổ		N
bánh tôm		N
bánh trái		N
bánh tráng		N
bánh tro		N
bánh trôi		N
bánh trung thu		N
bánh ú		N
bánh ú tro		N
bánh ướt		N
bánh vẽ		N
bánh vít		N
bánh xe		N
bánh xèo		N
bạnh		Vt, Aa
bao		N, N, Vt
bao bì		N, Ng
bao biếm		Vit
bao biện		Vt
bao bọc		Vt
bao bố		N
bao cao su		N
bao caosu		N
bao cấp		Vt
bao che		Vt
bao chiếm		Vt
bao dai		Aa
bao dong		Aa
bao dung		Aa
bao đồng		Aa
bao giờ		Pi
bao gói		N, Ng, Vt
bao gồm		Vt
bao hàm		Vt
bao hoa		N
bao la		An
bao lan		N
bao lăm		Pi
bao lâu		An
bao lơn		N
bao mua		Vt
bao nả		Pn
bao nhiêu		Pi
bao phấn		N
bao phủ		Vt
bao quản		Vt
bao quát		Vt
bao sân		Vit
bao tải		N
bao tay		N
bao thầu		Vt
bao thơ		N
bao tiêu		Vt
bao tời		N
bao trùm		Vt
bao tử		N
bao tượng		N
bao vây		Vt
bao vây kinh tế		Vit
bao xa		An
bào		N, Vt
bào ảnh		N
bào bọt		Aa
bào chế		Vt
bào chế học		N
bào chữa		Vt
bào hao		Vit
bào ngư		N, Ng
bào thai		N, Ng
bào tộc		N, Ng
bào tử		N, Ng
bào tử nang		N, Ng
bào xác		N
bào xoi		N
bảo		Vt
bảo an		N, Ng, Vit
bảo an binh		N, Ng
bảo ban		Vt
bảo bối		N, Ng
bảo chứng		N, Vit
bảo dưỡng		Vt
bảo đảm		N, Vt, Aa
bảo hành		Vt
bảo hiểm		Vt
bảo hiểm bắt buộc		N
bảo hiểm hỗn hợp		N
bảo hiểm xã hội		Vit
bảo hoàng		Aa
bảo hoàng hơn vua		Vit
bảo hộ		Vt
bảo hộ lao động		Vit
bảo hộ mậu dịch		N
bảo kê		N, Ng, Vt
bảo kiếm		N, Ng
bảo lãnh		Vt
bảo lĩnh		Vt
bảo lưu		Vt
bảo mạng		Vit
bảo mật		Vt
bảo mẫu		N, Ng
bảo mệnh		Vit
bảo nhỏ		Vt
bảo quản		Vt
bảo sanh		N, Ng
bảo tàng		Vt
bảo tháp		N, Ng
bảo thủ		Vt, Aa
bảo toàn		Vt
bảo tồn		Vt
bảo tồn bảo tàng		Vit
bảo trì		N, Vt
bảo trợ		Vt
bảo vật		N, Ng
bảo vệ		N, Ng, Vt
bão		N
bão bùng		N, Ng
bão cát		N, Ng
bão hoà		Aa
bão rớt		N, Ng
bão táp		N, Ng
bão tố		N, Ng
bão tuyết		N, Ng
bão từ		N, Ng
báo		N, Ng, Vt
báo an		Vit
báo ảnh		N, Ng
báo bổ		Vt
báo cáo		N, Ng, Vt
báo cáo viên		N, Ng
báo chí		N, Ng
báo chương		N, Ng
báo cô		Vit
báo công		Vit
báo danh		Vit
báo đáp		Vt
báo đền		Vt
báo động		Vit
báo giá		N, Ng
báo giới		N, Ng
báo hại		Vt
báo hỉ		Vit
báo hiếu		Vt
báo hiệu		Vt
báo hỷ		Vit
báo liếp		N, Ng
báo mộng		Vit
báo oán		Vt
báo ơn		Vt
báo phục		Vt
báo quán		N, Ng
báo quốc		Vit
báo tang		Vit
báo thù		Vit
báo thức		Vit
báo tiệp		Vit
báo tử		Vit
báo tường		N, Ng
báo ứng		Vit
báo vụ		N
báo vụ viên		N, Ng
báo yên		Vit
bạo		Aa
bạo ăn bạo nói		Vit
bạo bệnh		N
bạo chính		N
bạo chúa		N
bạo dạn		Aa
bạo động		N, Vit
bạo gan		Aa
bạo hành		N
bạo liệt		Aa
bạo loạn		N
bạo lực		N
bạo mồm bạo miệng		Vit
bạo nghịch		Aa
bạo ngược		Aa
bạo phát		Vit
bạo phổi		Aa
bạo tàn		Aa
bạo thiên nghịch địa		Aa
bar		Np
barem		Np
baren		Np
barie		Np
barrel		Np
basalt		Np
base		Np
bát		N, Nn, Vt
bát âm		Ng
bát chậu		N, Ng
bát chiết yêu		N, Ng
bát chữ		N, Ng
bát cổ		Aa
bát cú		Aa
bát diện		Ng
bát đàn		N, Ng
bát giác		Ng
bát hương		N, Ng
bát két		N, Ng
bát mẫu		N, Ng
bát ngát		An
bát nháo		Aa
bát ô tô		N, Ng
bát phẩm		N
bát phố		Vit
bát quái		Ng
bát tiên		Ng
bát tiết		N
bát trận đồ		N, Ng
bạt		N, Nu, Vt
bạt hồn		Vit
bạt hơi		Aa
bạt mạng		Aa
bạt ngàn		An
bạt nhĩ		Vit
bạt tai		Vit
bạt tê		Aa
bạt thiệp		Aa
bạt tử		Aa
bạt vía		Aa
bạt vía kinh hồn		Aa
bata		Np
batê		Np
batinê		Vit
batket		Np
batoong		Np
batrui		Vit
batui		Vit
bàu		N, Ng
bàu bạu		Aa
báu		Aa
báu vật		N, Ng
bay		N, Pp, Vit
bay biến		Vit, Jd
bay bổng		Vit
bay bướm		Aa
bay hơi		Vit
bay lượn		Vit
bay nhảy		Vit
bày		Vt
bày biện		Vt
bày đặt		Vt
bày tỏ		Vt
bày vai		Aa
bày vẽ		Vt
bảy		Nu
bảy mươi		Nn
bazan		Np
bazooka		Np
bazơ		Np
bắc		N, Vt
bắc		N, Vt
bắc bán cầu		Nl
bắc bậc		Aa
bắc cầu		Vit
Bắc Cực		Np
bắc cực quyền		N
Bắc Đẩu		Np
bắc nam		Nl
bắc sài hồ		N, Ng
băm		Nu, Vt
băm bổ		Vit
băm vằm		Vt
bằm		Vt
bặm		Vt
bặm bụi		N, Ng
bặm trợn		Aa
băn khoăn		Aa
bằn bặt		Aa
bẳn		Vit
bẳn gắt		Vit
bẳn tính		Aa
bắn		Vt
bắn bổng		Vit
bắn chác		Vit
bắn mìn		Vit
bắn tẩy		Vit
bắn tiếng		Vt
băng		N, Ng, Vt, Vo, Aa, Jd
băng bó		Vt
băng ca		N, Ng
băng đạn		N, Ng
băng đảo		N, Ng
băng giá		N, Ng
băng-giô		Np
băng hà		N, Ng, Vit
băng hình		N, Ng
băng hoại		Vit
băng huyết		Vit
băng lăn		N
băng nhân		N, Ng
băng nhóm		N, Ng
băng phiến		N, Ng
băng sơn		N
băng tải		N, Ng
băng tuyết		N, Ng
băng từ		N, Ng
băng video		N, Ng
băng xăng		Vit
bằng		N, Ng, Vt, Vc, Vtc, Aa, An, Cm
bằng an		Aa
bằng bặn		Aa
bằng cấp		N, Ng
bằng chân như vại		Aa
bằng chứng		N, Ng
bằng cớ		N, Ng
bằng cứ		N, Ng, Vit
bằng hữu		N, Ng
bằng không		Cc, Aa
bằng lăng		N, Ng
bằng lặng		Aa
bằng lòng		Vt
bằng mặt chẳng bằng lòng		X
bằng mặt mà chẳng bằng lòng		X
bằng phẳng		Aa
bằng sáng chế		N, Ng
bằng sắc		N, Ng
bằng thừa		Aa
bằng vai		Aa
bằng vai phải lứa		Aa
bẵng		Aa
bắng nhắng		Vit
bặng nhặng		Vit
băngca		N, Ng
bắp		N, Ng
bắp cải		N, Ng
bắp cày		N, Ng
bắp chân		N, Ng
bắp chuối		N, Ng
bắp cơ		N, Ng
bắp đùi		N, Ng
bắp ngô		N, Ng
bắp tay		N, Ng
bắp thịt		N, Ng
bắp vế		N, Ng
bắt		Vt
bắt ấn		Vit
bắt bánh		Vit
bắt bánh xe		Vit
bắt bẻ		Vit
bắt bí		Vt
bắt bóng đè chừng		Vit
bắt bớ		Vt
bắt buộc		Vt
bắt cá hai tay		X
bắt cái		Vit
bắt chân chữ ngũ		Vit
bắt chẹt		Vt
bắt chợt		Vit
bắt chuồn chuồn		Vit
bắt chuyện		Vit
bắt chước		Vt
bắt cóc		Vt
bắt cóc bỏ đĩa		X
bắt cô trói cột		N, Ng
bắt đầu		Vt
bắt đầu từ		Cc
bắt đền		Vt
bắt ép		Vt
bắt gặp		Vt
bắt giọng		Vit
bắt giữ		Vt
bắt khoan bắt nhặt		Vit
bắt khoán		Vit
bắt mạch		Vit
bắt mắt		Vit
bắt mối		Vit
bắt nạt		Vt
bắt ne bắt nét		Vit
bắt nét		Vit
bắt nguồn		Vit
bắt nhân tình		Vit
bắt nhịp		Vit
bắt nọn		Vit
bắt nợ		Vt
bắt quyết		Vit
bắt rễ		Vit
bắt tay		Vt
bắt thăm		Vit
bắt thóp		Vt
bắt thường		Vt
bắt tình		Vit
bắt tội		Vt
bắt tréo		Vt
bắt vạ		Vt
bặt		Aa
bặt tăm		Vit
bặt thiệp		Aa
bấc		N
bậc		N
bậc tam cấp		N, Ng
bầm		N, Aa
bầm gan tím ruột		Aa
bẩm		Vt
bẩm báo		Vt
bẩm chất		N
bẩm sinh		Aa
bẩm tính		N
bẫm		Aa
bấm		Vt
bấm bụng		Vt, Vim, Vtim
bấm chí		Vitim
bấm chí		Vit
bấm độn		Vit
bấm đốt		Vit
bấm gan		Vt, Vim, Vtim
bấm giờ		Vit
bấm ngọn		Vit
bấm ra sữa		Aa
bậm		Vt, Aa
bậm bạp		Aa
bậm trợn		Aa
bần		N, Aa
bần bách		Aa
bần bật		Aa
bần cố nông		N, Ng
bần cùng		Aa
bần cùng hoá		Vit
bần đạo		N
bần hàn		Aa
bần huyết		N
bần nông		N, Ng
bần sĩ		N, Ng
bần tăng		N
bần thần		Aa
bần tiện		Aa
bẩn		Aa
bẩn mình		Aa
bẩn thẩn bần thần		Aa
bẩn thỉu		Aa
bẩn tưởi		Aa
bấn		Aa
bấn bíu		Aa
bấn loạn		Vit, Aa
bận		Nu, Vt, Aa
bận bịu		Vt, Aa
bận lòng		Aa
bận mọn		Aa
bận rộn		Aa
bận tâm		Aa
bâng khuâng		Aa
bâng quơ		Aa
bấng		Vt
bấp ba bấp bênh		Aa
bấp bênh		Aa
bập		N, Vt
bập bà bập bềnh		Vit
bập bà bập bõm		Jd
bập bà bập bùng		Aa
bập bẹ		Vit
bập bênh		N
bập bềnh		Vit
bập bõm		Jd
bập bồng		Vit
bập bỗng		Aa
bập bùng		Aa
bất		Ng
bất an		Aa
bất bạo động		Vit
bất bằng		Aa
bất biến		Aa
bất bình		Aa
bất cần		Vit
bất cẩn		Aa
bất cập		Aa
bất chấp		Vt
bất chính		Aa
bất chợt		Jt
bất công		Aa
bất cộng đái thiên		Vit
bất cứ		Jd
bất di bất dịch		Vit
bất diệt		Aa
bất đắc chí		Aa
bất đắc dĩ		Aa
bất đắc kì tử		Vit
bất đắc kỳ tử		Vit
bất đẳng thức		N
bất định		Aa
bất đồ		Jt
bất đồng		Aa
bất động		Aa
bất động sản		N
bất giác		Jt
bất hạnh		Aa
bất hảo		Aa
bất hiếu		Aa
bất hoà		Aa
bất hủ		Aa
bất kể		Jd
bất khả		Vt
bất khả kháng		Vit
bất khả tri luận		N
bất khả xâm phạm		Aa
bất kham		Aa
bất khuất		Aa
bất kì		Aa, Jd
